scenario,policy,policy_label,coverage_frac_mean,energy_per_detection_j_mean,energy_total_j_mean,false_alarm_rate_per_dwell_mean,max_staleness_p1_s_mean,n_unique_detections_mean,poi_60_mean,poi_p1_60_mean,ttfi_p1_median_s_mean,coverage_frac_std,energy_per_detection_j_std,energy_total_j_std,false_alarm_rate_per_dwell_std,max_staleness_p1_s_std,n_unique_detections_std,poi_60_std,poi_p1_60_std,ttfi_p1_median_s_std,coverage_frac_count,energy_per_detection_j_count,energy_total_j_count,false_alarm_rate_per_dwell_count,max_staleness_p1_s_count,n_unique_detections_count,poi_60_count,poi_p1_60_count,ttfi_p1_median_s_count,n_no_detection
agile,round_robin,round robin (fair-tuned),0.00027946003146258,2.4396824339999763,5.999219099999942,0.00090909090909086,56.354,2.8,0.17142857142857137,0.0,60.0,5.439028645420538e-05,0.8172062964241367,0.0,0.00027835110713445943,0.0,1.3038404810405297,0.08144110179279557,0.0,0.0,5,5,5,5,5,5,5,5,5,0
agile,random,random,0.00393309981533326,2.1288690166666666,5.40250242,0.0023625238907630797,60.0,1.6,0.08571428571428567,0.0,60.0,0.0033808991233929215,0.7130531775243978,0.42390071192836076,0.0024175848416127087,0.0,1.51657508881031,0.09313146293146637,0.0,0.0,5,3,5,5,5,5,5,5,5,2
agile,greedy,"greedy ablation (no decay, no scheduler)",0.00308081591199232,3.4764974140000824,5.994031580000141,0.0010579907081370399,55.71816600000003,2.8,0.18571428571428567,0.0,60.0,0.0010990766115340324,2.4125916656492,0.0038940675227850507,0.00022110385280655728,0.48136541865821214,2.04939015319192,0.12975644374703535,0.0,0.0,5,5,5,5,5,5,5,5,5,0
agile,index,index (rung 1),0.00446832585792586,0.6622534720952363,5.994753499999985,0.0009773539465840401,28.42662800000001,9.6,0.3857142857142857,0.0,60.0,0.0002995860647990002,0.1817015834904155,0.0032371373248642516,0.0001705175516028697,2.7286088072807573,2.5099800796022267,0.09583148474999098,0.0,0.0,5,5,5,5,5,5,5,5,5,0
agile,oracle,clairvoyant greedy (reference ceiling),0.00439445458175398,1.0753809886602017,5.992263979997171,0.00110098985729874,58.063100892738454,4.8,0.2857142857142857,0.05,60.0,0.002565281116496561,0.34087876440129244,0.0029992072937082867,0.000255434102492483,1.871701908054173,3.1144823004794873,0.1889822365046136,0.1118033988749895,0.0,5,4,5,5,5,5,5,5,5,1
dense,round_robin,round robin (fair-tuned),0.00034642173363038,0.5893005819230712,5.999219099999942,0.00090909090909086,56.354,10.8,0.35,0.0,60.0,3.2933836385098486e-05,0.17198479246568044,0.0,0.00027835110713445943,0.0,2.6832815729997477,0.0959238702768445,0.0,0.0,5,5,5,5,5,5,5,5,5,0
dense,random,random,0.00243862037651364,2.3097346200000004,5.40250242,0.0023625238907630797,60.0,3.0,0.09166666666666665,0.0,60.0,0.0017209489175030173,1.528182533878958,0.42390071192836076,0.0024175848416127087,0.0,1.4142135623730951,0.045643546458763874,0.0,0.0,5,5,5,5,5,5,5,5,5,0
dense,greedy,"greedy ablation (no decay, no scheduler)",0.00403731178561208,0.5507091837373869,5.991293020000144,0.00106730378917702,56.025198000000024,11.0,0.325,0.0,60.0,0.0010899379034573662,0.06810673792469397,0.0016748907104638636,0.0002290067172846402,0.8617764362756619,1.224744871391589,0.03486083443891981,0.0,0.0,5,5,5,5,5,5,5,5,5,0
dense,index,index (rung 1),0.0075588799547144205,0.1915260886496028,5.991056139999979,0.00113344286869504,29.697463999999997,32.0,0.4,0.0,60.0,0.001813554341650457,0.032880857272192886,0.007056522839755664,0.00018493039769183037,2.7985107979834,5.291502622129181,0.08122328620674135,0.0,0.0,5,5,5,5,5,5,5,5,5,0
dense,oracle,clairvoyant greedy (reference ceiling),0.00643526300623824,0.33209396091335663,5.9963404999990555,0.0010647719762581199,58.642164,18.6,0.525,0.06666666666666664,60.0,0.0038905321516786513,0.06516921871582054,0.001637590479947618,0.0002950048121093772,2.047834856727943,3.5071355833500366,0.07569125885243727,0.09128709291752765,0.0,5,5,5,5,5,5,5,5,5,0
