run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
round_robin__agile__s0__h60,round_robin,round robin (fair-tuned),agile,0,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00028422205397954115,0.00029035372079528005,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,6,2,4,0.0009090909090909091,0.06666666666666667,14,191,0.11110499999999925,1,0,0.5,0.0,rate,,0.5380079000024125
round_robin__agile__s1__h60,round_robin,round robin (fair-tuned),agile,1,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00034033001495257435,0.00019383557462699768,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,6,2,4,0.0009090909090909091,0.06666666666666667,14,200,0.11110499999999925,1,0,0.5,0.0,rate,,0.5446051999460906
round_robin__agile__s2__h60,round_robin,round robin (fair-tuned),agile,2,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00023511930431137522,0.0,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,5,2,3,0.0006818181818181819,0.05,14,191,0.11110499999999925,1,0,0.5,0.0,rate,,0.5060550000052899
round_robin__agile__s3__h60,round_robin,round robin (fair-tuned),agile,3,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00021444242346732825,5.9246394148133295e-05,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,10,4,6,0.0013636363636363637,0.1,14,174,0.11110499999999925,1,0,0.5,0.0,rate,,0.5286583999404684
round_robin__agile__s4__h60,round_robin,round robin (fair-tuned),agile,4,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0003231863606023983,0.0004171069931496569,5,0,1.1998438199999883,inf,56.35399999999999,56.21149999999999,9,6,3,0.0006818181818181819,0.05,14,182,0.11110499999999925,1,0,0.5,0.0,rate,,0.5092302000848576
epsilon_greedy__agile__s0__h60,epsilon_greedy,epsilon_greedy,agile,0,c4ee1da8603c2765,60.0,6.0,464,232,232,2.32,1.44744,56.232560000000134,60.0,4.752765599999989,2.32,1.40644,0.464,0.5623256000000013,1160,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0,0.0,0,0,inf,inf,60.0,56.82280999999999,0,0,0,0.0,0.0,14,191,0.9996239999999952,1,0,0.5,0.0,rate,,0.3577118000248447
epsilon_greedy__agile__s1__h60,epsilon_greedy,epsilon_greedy,agile,1,c4ee1da8603c2765,60.0,6.0,464,232,232,2.32,1.3701400000000001,56.30986000000016,60.0,4.676738599999984,2.32,1.3296400000000004,0.464,0.5630986000000016,1160,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0,0.0,0,0,inf,inf,60.0,56.36627349999999,2,0,2,0.0017241379310344827,0.03333333333333333,14,200,0.9983356666666615,1,0,0.5,0.0,rate,,0.36584270000457764
epsilon_greedy__agile__s2__h60,epsilon_greedy,epsilon_greedy,agile,2,c4ee1da8603c2765,60.0,6.0,466,233,233,2.33,1.18604,56.483960000000124,60.0,4.5083795999999845,2.33,1.1475399999999998,0.466,0.5648396000000012,1165,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0017120306211019585,0.0,7,0,0.6440542285714264,inf,60.0,57.114197833333336,52,51,1,0.0008583690987124463,0.016666666666666666,14,191,0.9994895555555509,1,0,0.5,0.0,rate,,0.3490790000651032
epsilon_greedy__agile__s3__h60,epsilon_greedy,epsilon_greedy,agile,3,c4ee1da8603c2765,60.0,6.0,460,230,230,2.3000000000000003,1.90174,55.798260000000106,60.0,5.172222599999985,2.3000000000000003,1.8542399999999994,0.46,0.5579826000000011,1150,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0,0.0,0,0,inf,inf,60.0,59.44730683333333,1,0,1,0.0008695652173913044,0.016666666666666666,14,174,0.9987512222222179,1,0,0.5,0.0,rate,,0.34985819994471967
epsilon_greedy__agile__s4__h60,epsilon_greedy,epsilon_greedy,agile,4,c4ee1da8603c2765,60.0,6.0,462,231,231,2.31,1.50004,56.189960000000085,60.0,4.790939599999983,2.31,1.4570400000000001,0.462,0.5618996000000008,1155,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0,0.0,0,0,inf,inf,60.0,57.51833616666665,2,0,2,0.0017316017316017316,0.03333333333333333,14,182,0.9962784444444405,1,0,0.5,0.0,rate,,0.3395956000313163
