run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
round_robin__sparse__s0__h60,round_robin,round robin (fair-tuned),sparse,0,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.00040527578230470986,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,7,3,4,0.0009090909090909091,0.06666666666666667,8,103,0.11110499999999925,1,0,0.5,0.0,rate,,0.2687995999585837
round_robin__sparse__s1__h60,round_robin,round robin (fair-tuned),sparse,1,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003141733134812932,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,8,4,4,0.0009090909090909091,0.06666666666666667,8,91,0.11110499999999925,1,0,0.5,0.0,rate,,0.2488644999684766
round_robin__sparse__s2__h60,round_robin,round robin (fair-tuned),sparse,2,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.25,0.25,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0002527808113061858,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,6,3,3,0.0006818181818181819,0.05,8,90,0.11110499999999925,1,0,0.5,0.0,rate,,0.3796558000613004
round_robin__sparse__s3__h60,round_robin,round robin (fair-tuned),sparse,3,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003069983068440776,0.0,4,0,1.4998047749999854,inf,56.35399999999999,56.21149999999999,10,4,6,0.0013636363636363637,0.1,8,102,0.11110499999999925,1,0,0.5,0.0,rate,,0.4379482000367716
round_robin__sparse__s4__h60,round_robin,round robin (fair-tuned),sparse,4,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003964820295426852,0.0,5,0,1.1998438199999883,inf,56.35399999999999,56.21149999999999,9,6,3,0.0006818181818181819,0.05,8,98,0.11110499999999925,1,0,0.5,0.0,rate,,0.5242503000190482
round_robin__sparse__s5__h60,round_robin,round robin (fair-tuned),sparse,5,a0f2470574a3025b,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.00050280995067781,0.0,5,0,1.1998438199999883,inf,56.35399999999999,56.21149999999999,9,5,4,0.0009090909090909091,0.06666666666666667,8,106,0.11110499999999925,1,0,0.5,0.0,rate,,0.4883403000421822
random__sparse__s0__h60,random,random,sparse,0,a0f2470574a3025b,60.0,6.0,155,77,78,4.341,0.93164,54.727359999999976,60.0,5.935413600000002,4.341,0.8931399999999998,0.154,0.5472735999999998,683,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,56.59219736757583,0,0,0,0.0,0.0,8,103,0.9837720824352112,1,0,0.5,0.0,rate,,0.21110469999257475
random__sparse__s1__h60,random,random,sparse,1,a0f2470574a3025b,60.0,6.0,149,74,75,3.982,1.25051,54.767489999999995,60.0,5.8911849000000025,3.982,1.2135100000000003,0.148,0.5476749,563,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,6.766806981654804e-05,0.0,0,0,inf,inf,60.0,55.37699760892251,1,0,1,0.0017761989342806395,0.016666666666666666,8,91,0.972794917933786,1,0,0.5,0.0,rate,,0.18679489998612553
random__sparse__s2__h60,random,random,sparse,2,a0f2470574a3025b,60.0,6.0,173,86,87,4.140000000000001,1.14486,54.715139999999934,60.0,5.961011400000002,4.140000000000001,1.1018600000000003,0.17200000000000001,0.5471513999999994,719,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,50.94060243334594,0,0,0,0.0,0.0,8,90,0.9721872833022757,1,0,0.5,0.0,rate,,0.19056570006068796
random__sparse__s3__h60,random,random,sparse,3,a0f2470574a3025b,60.0,6.0,165,82,83,4.0680000000000005,1.14917,54.78283,60.0,5.8879983,4.0680000000000005,1.1081700000000003,0.164,0.5478282999999999,538,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,56.08905478549177,1,0,1,0.0018587360594795538,0.016666666666666666,8,102,0.9694577243549999,1,0,0.5,0.0,rate,,0.19766309997066855
