run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
round_robin__dense__s0__h60,round_robin,round robin (fair-tuned),dense,0,2f0c71dd1bcf3610,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.00033403352328075967,0.0,9,0,0.6665798999999936,inf,56.35399999999999,56.21149999999999,14,10,4,0.0009090909090909091,0.06666666666666667,24,511,0.11110499999999925,1,0,0.5,0.0,rate,,0.28677719994448125
round_robin__dense__s1__h60,round_robin,round robin (fair-tuned),dense,1,2f0c71dd1bcf3610,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0003876298246397701,0.0006901698845014743,13,0,0.46147839230768783,inf,56.35399999999999,56.21149999999999,18,14,4,0.0009090909090909091,0.06666666666666667,24,475,0.11110499999999925,1,0,0.5,0.0,rate,,0.2514550000196323
round_robin__dense__s2__h60,round_robin,round robin (fair-tuned),dense,2,2f0c71dd1bcf3610,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0003496264225367319,0.0,7,0,0.8570312999999917,inf,56.35399999999999,56.21149999999999,10,7,3,0.0006818181818181819,0.05,24,489,0.11110499999999925,1,0,0.5,0.0,rate,,0.2731276999693364
round_robin__dense__s3__h60,round_robin,round robin (fair-tuned),dense,3,2f0c71dd1bcf3610,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0002990732139353954,0.0,13,0,0.46147839230768783,inf,56.35399999999999,56.21149999999999,21,15,6,0.0013636363636363637,0.1,24,500,0.11110499999999925,1,0,0.5,0.0,rate,,0.2714816000079736
round_robin__dense__s4__h60,round_robin,round robin (fair-tuned),dense,4,2f0c71dd1bcf3610,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.00036174568375952536,0.0,12,0,0.49993492499999515,inf,56.35399999999999,56.21149999999999,16,13,3,0.0006818181818181819,0.05,24,478,0.11110499999999925,1,0,0.5,0.0,rate,,0.25454330001957715
random__dense__s0__h60,random,random,dense,0,2f0c71dd1bcf3610,60.0,6.0,23,11,12,5.2,0.13995,54.66005000000001,60.0,5.903050499999999,5.2,0.1344499999999993,0.022,0.5466005000000002,340,0.041666666666666664,0.08333333333333333,0.125,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.002066607115846278,0.0,5,0,1.1806100999999998,inf,60.0,60.0,4,4,0,0.0,0.0,24,511,0.9673340861143279,1,0,0.5,0.0,rate,,0.08207749994471669
random__dense__s1__h60,random,random,dense,1,2f0c71dd1bcf3610,60.0,6.0,27,13,14,5.04,0.19975,54.76025,60.0,5.8068525,5.04,0.19324999999999992,0.026000000000000002,0.5476025,450,0.0,0.125,0.125,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0016474267547190442,0.0,3,0,1.9356175,inf,60.0,59.52540897885667,3,3,0,0.0,0.0,24,475,0.9242348298094448,1,0,0.5,0.0,rate,,0.0799699000781402
random__dense__s2__h60,random,random,dense,2,2f0c71dd1bcf3610,60.0,6.0,21,10,11,4.28,0.14663,55.57337,60.0,4.997363700000001,4.28,0.14163000000000014,0.02,0.5557337,490,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0008324438631827057,0.0,1,0,4.997363700000001,inf,60.0,55.3591286271875,3,1,2,0.004081632653061225,0.03333333333333333,24,489,0.7854925140847918,1,0,0.5,0.0,rate,,0.07898739993106574
random__dense__s3__h60,random,random,dense,3,2f0c71dd1bcf3610,60.0,6.0,25,12,13,4.48,0.18993,55.33007,60.0,5.241230700000001,4.48,0.18392999999999926,0.024,0.5533007,430,0.0,0.08333333333333333,0.125,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0022956121194263523,0.0,3,0,1.7470769000000004,inf,60.0,60.0,4,3,1,0.002325581395348837,0.016666666666666666,24,500,0.7535636855597833,1,0,0.5,0.0,rate,,0.08852749993093312
random__dense__s4__h60,random,random,dense,4,2f0c71dd1bcf3610,60.0,6.0,11,5,6,4.4,0.10153,55.49846999999999,60.0,5.064014700000001,4.4,0.09902999999999995,0.01,0.5549846999999999,370,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.005351012029394088,0.0,3,0,1.6880049000000004,inf,60.0,55.535759037000005,4,2,2,0.005405405405405406,0.03333333333333333,24,478,0.7872518545000001,1,0,0.5,0.0,rate,,0.0818855999968946
