run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
round_robin__agile__s0__h60,round_robin,round robin (fair-tuned),agile,0,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00028422205397954115,0.00029035372079528005,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,6,2,4,0.0009090909090909091,0.06666666666666667,14,191,0.11110499999999925,1,0,0.5,0.0,rate,,0.2817390999989584
round_robin__agile__s1__h60,round_robin,round robin (fair-tuned),agile,1,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00034033001495257435,0.00019383557462699768,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,6,2,4,0.0009090909090909091,0.06666666666666667,14,200,0.11110499999999925,1,0,0.5,0.0,rate,,0.2739340999396518
round_robin__agile__s2__h60,round_robin,round robin (fair-tuned),agile,2,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00023511930431137522,0.0,2,0,2.999609549999971,inf,56.35399999999999,56.21149999999999,5,2,3,0.0006818181818181819,0.05,14,191,0.11110499999999925,1,0,0.5,0.0,rate,,0.2865061000920832
round_robin__agile__s3__h60,round_robin,round robin (fair-tuned),agile,3,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00021444242346732825,5.9246394148133295e-05,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,10,4,6,0.0013636363636363637,0.1,14,174,0.11110499999999925,1,0,0.5,0.0,rate,,0.3160341000184417
round_robin__agile__s4__h60,round_robin,round robin (fair-tuned),agile,4,c4ee1da8603c2765,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0003231863606023983,0.0004171069931496569,5,0,1.1998438199999883,inf,56.35399999999999,56.21149999999999,9,6,3,0.0006818181818181819,0.05,14,182,0.11110499999999925,1,0,0.5,0.0,rate,,0.2728831999702379
index__agile__s0__h60,index,index (rung 1),agile,0,c4ee1da8603c2765,60.0,6.0,502,286,216,3.29,1.71561,54.994390000000124,60.0,5.993053899999975,3.29,1.5811099999999998,0.5720000000000001,0.5499439000000013,27640,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.004218706130921173,0.00272118764936874,7,0,0.8561505571428535,inf,30.50618,18.271110399999994,36,13,23,0.0008321273516642547,0.38333333333333336,14,191,0.9453678333333302,1,0,0.5,0.0,rate,,0.8847992999944836
index__agile__s1__h60,index,index (rung 1),agile,1,c4ee1da8603c2765,60.0,6.0,468,327,141,3.41,1.53923,55.05077000000002,60.0,5.998237699999989,3.41,1.38373,0.654,0.5505077000000003,28100,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.004619970071389917,0.0029291732371352964,10,0,0.5998237699999989,inf,25.890909999999884,19.599934849999944,69,46,23,0.0008185053380782918,0.38333333333333336,14,200,0.9458204999999996,1,0,0.5,0.0,rate,,0.9274830999784172
index__agile__s2__h60,index,index (rung 1),agile,2,c4ee1da8603c2765,60.0,6.0,424,276,148,3.6100000000000003,1.42187,54.9681300000001,60.0,5.998051299999988,3.6100000000000003,1.286369999999999,0.552,0.549681300000001,22600,0.0,0.35714285714285715,0.5,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.00491559412748501,0.0028417826676287753,12,0,0.4998376083333323,inf,30.70366,22.83493939999997,66,39,27,0.0011946902654867257,0.45,14,191,0.9493211666666656,1,0,0.5,0.0,rate,,0.7977116999682039
index__agile__s3__h60,index,index (rung 1),agile,3,c4ee1da8603c2765,60.0,6.0,451,301,150,3.19,1.79733,55.01267000000007,60.0,5.993456699999994,3.19,1.6513299999999993,0.602,0.5501267000000007,28160,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.0042141507252362875,0.002950537784283707,7,0,0.8562080999999991,inf,29.984410000000103,18.55837370000002,42,16,26,0.0009232954545454545,0.43333333333333335,14,174,0.9447888333333321,1,0,0.5,0.0,rate,,0.8566405000165105
index__agile__s4__h60,index,index (rung 1),agile,4,c4ee1da8603c2765,60.0,6.0,497,308,189,3.3000000000000003,1.67421,55.025790000000086,60.0,5.990967899999977,3.3000000000000003,1.5247100000000002,0.616,0.5502579000000009,26830,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,60.0,60.0,0,4,0.0,0.004373208234597114,0.004025513257165722,12,0,0.4992473249999981,inf,25.047980000000067,20.162549999999978,80,50,30,0.0011181513231457323,0.5,14,182,0.9412368333333319,1,0,0.5,0.0,rate,,0.9516121000051498
